| epoch   1 | 220000/297209 batches | lr 9.291041e-05 | ms/batch 127.30 | loss  3.94 
| epoch   1 | 221000/297209 batches | lr 9.287665e-05 | ms/batch 127.29 | loss  3.95 
| epoch   1 | 222000/297209 batches | lr 9.284289e-05 | ms/batch 127.31 | loss  3.93 
| epoch   1 | 223000/297209 batches | lr 9.280913e-05 | ms/batch 127.42 | loss  3.93 
| epoch   1 | 224000/297209 batches | lr 9.277537e-05 | ms/batch 127.33 | loss  3.93 
| epoch   1 | 225000/297209 batches | lr 9.274161e-05 | ms/batch 127.49 | loss  3.93 
| epoch   1 | 226000/297209 batches | lr 9.270785e-05 | ms/batch 127.24 | loss  3.92 
| epoch   1 | 227000/297209 batches | lr 9.267409e-05 | ms/batch 127.36 | loss  3.92 
| epoch   1 | 228000/297209 batches | lr 9.264033e-05 | ms/batch 127.27 | loss  3.91 
| epoch   1 | 229000/297209 batches | lr 9.260657e-05 | ms/batch 127.36 | loss  3.92 
| epoch   1 | 230000/297209 batches | lr 9.257281e-05 | ms/batch 125.82 | loss  3.91 
| epoch   1 | 231000/297209 batches | lr 9.253905e-05 | ms/batch 120.00 | loss  3.92 
| epoch   1 | 232000/297209 batches | lr 9.250529e-05 | ms/batch 127.34 | loss  3.92 
| epoch   1 | 233000/297209 batches | lr 9.247153e-05 | ms/batch 127.24 | loss  3.92 
| epoch   1 | 234000/297209 batches | lr 9.243777e-05 | ms/batch 127.30 | loss  3.92 
| epoch   1 | 235000/297209 batches | lr 9.240401e-05 | ms/batch 127.38 | loss  3.91 
| epoch   1 | 236000/297209 batches | lr 9.237025e-05 | ms/batch 127.28 | loss  3.90 
| epoch   1 | 237000/297209 batches | lr 9.233649e-05 | ms/batch 127.50 | loss  3.91 
| epoch   1 | 238000/297209 batches | lr 9.230273e-05 | ms/batch 127.26 | loss  3.90 
| epoch   1 | 239000/297209 batches | lr 9.226897e-05 | ms/batch 127.46 | loss  3.89 
| epoch   1 | 240000/297209 batches | lr 9.223521e-05 | ms/batch 127.28 | loss  3.90 
| epoch   1 | 241000/297209 batches | lr 9.220145e-05 | ms/batch 127.31 | loss  3.89 
| epoch   1 | 242000/297209 batches | lr 9.216769e-05 | ms/batch 127.45 | loss  3.90 
| epoch   1 | 243000/297209 batches | lr 9.213393e-05 | ms/batch 127.22 | loss  3.90 
| epoch   1 | 244000/297209 batches | lr 9.210017e-05 | ms/batch 124.38 | loss  3.89 
| epoch   1 | 245000/297209 batches | lr 9.206641e-05 | ms/batch 119.90 | loss  3.89 
| epoch   1 | 246000/297209 batches | lr 9.203265e-05 | ms/batch 120.58 | loss  3.89 
| epoch   1 | 247000/297209 batches | lr 9.199889e-05 | ms/batch 189.04 | loss  3.89 
| epoch   1 | 248000/297209 batches | lr 9.196513e-05 | ms/batch 119.58 | loss  3.88 
